Open,High,Low,Close,Volume,Dividends,Stock Splits
7546.7998046875,7610.419921875,7538.990234375,7598.0498046875,3286910000,0,0
7544.169921875,7598.97998046875,7500.02001953125,7597.5,3969370000,0,0
7730.02001953125,7801.83984375,7730.02001953125,7801.83984375,4590480000,0,0
7810.830078125,7832.14990234375,7768.35009765625,7832.14990234375,3301650000,0,0
7838.66015625,7905.77978515625,7834.77978515625,7901.669921875,2116390000,0,0
7855.08984375,7869.25,7809.41015625,7837.77001953125,3041520000,0,0
7768.56982421875,7768.56982421875,7722.97021484375,7756.60986328125,2745140000,0,0
7742.02001953125,7747.10009765625,7699.9599609375,7736.39990234375,2904860000,0,0
7753.740234375,7786.47021484375,7638.31005859375,7667.56982421875,3470600000,0,0
7667.66015625,7704.830078125,7643.91015625,7685.31982421875,3426290000,0,0
